offset,xmin,ymin,xmax,ymax,car_direction,car_curv,x_lane_Two_firstPoint,y_lane_Two_firstPoint,x_lane_Two_midPoint,y_lane_Two_midPoint,x_lane_Two_lastPoint,y_lane_Two_lastPoint,x_lane_Three_firstPoint,y_lane_Three_firstPoint,x_lane_Three_midPoint,y_lane_Three_midPoint,x_lane_Three_lastPoint,y_lane_Three_lastPoint,case
"[-0.14084116588589163, -0.14639583897030073, -0.08568359713397833, -0.08773513596082806, -0.14991321713619413, -0.035811915217244264, -0.271763641192165, 0.21332236540942906, -0.24472307121351633, -0.2887177876469206, 0.12035117658939878, 0.22572834360679112]","[354, 346, 340, 340, 339, 338, 337, 332, 329, 324, 311, 303]","[621, 621, 623, 624, 629, 631, 629, 625, 620, 605, 590, 580]","[384, 380, 376, 379, 383, 386, 390, 401, 414, 428, 468, 503]","[665, 670, 674, 680, 690, 698, 701, 715, 732, 743, 800, 854]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2]","[1606.2350270728834, 2601.782958608398, 1939.1577775978499, 7252.024404749148, 2756.382530175824, 2537.7783642730187, 3889.139584381179, 1763.3349000209555, 3084.115657556903, 3374.5514242304844, 2273.516271314754, 489.4345211302534]","[605, 601, 602, 607, 612, 614, 609, 595, 588, 568, 536, 478]","[378, 378, 372, 372, 372, 372, 372, 384, 390, 408, 425, 478]","[407, 407, 402, 426, 422, 434, 434, 420, 408, 370, 358, 324]","[549, 549, 549, 549, 549, 549, 549, 555, 555, 567, 572, 602]","[201, 203, 202, 241, 228, 259, 259, 241, 234, 183, 182, 183]","[720, 720, 720, 720, 720, 720, 720, 720, 720, 720, 720, 720]","[658, 672, 666, 665, 666, 666, 671, 665, 697, 806, 717, 858]","[378, 378, 372, 372, 372, 372, 378, 384, 390, 402, 420, 472]","[813, 813, 812, 826, 827, 826, 826, 807, 807, 813, 813, 871]","[520, 520, 508, 520, 520, 520, 525, 502, 502, 508, 508, 549]","[994, 994, 993, 994, 994, 987, 974, 993, 999, 993, 999, 999]","[661, 661, 661, 661, 661, 714, 714, 649, 608, 608, 614, 620]",0
"[-0.08926801370572197, -0.18578915507451288, -0.3629792665001348, -0.41697663417446573, -0.45562515938106224, -0.4472308047946331, -0.44847815083502385, -0.4360109007492642, -0.379782240975246, -0.3059593827329741, -0.3055106964425261, -0.24255555895860662]","[360, 360, 361, 357, 347, 345, 348, 355, 350, 344, 343, 333]","[620, 620, 627, 634, 630, 631, 630, 626, 626, 611, 604, 562]","[371, 371, 373, 372, 362, 361, 363, 372, 372, 393, 402, 455]","[635, 636, 646, 650, 650, 652, 652, 655, 657, 673, 682, 731]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2678.3647776363227, 7641.626829454929, 8221.412640541292, 1430.7556824374678, 1913.8783127985632, 4017.6587811240806, 4291.334001738454, 3297.802439504082, 1495.2954642503578, 3604.489681173698, 2538.86381301644, 1032.503641113499]","[588, 589, 596, 602, 607, 614, 614, 608, 614, 594, 583, 542]","[390, 384, 384, 378, 367, 361, 361, 372, 367, 372, 372, 396]","[401, 377, 363, 351, 362, 364, 363, 350, 351, 337, 337, 304]","[555, 555, 555, 549, 525, 520, 514, 520, 514, 514, 514, 525]","[202, 176, 144, 125, 100, 106, 112, 118, 106, 104, 104, 100]","[720, 720, 720, 720, 684, 678, 667, 661, 655, 655, 655, 649]","[685, 678, 679, 690, 672, 678, 678, 685, 690, 697, 697, 755]","[390, 384, 384, 384, 367, 367, 367, 372, 372, 372, 372, 402]","[820, 831, 826, 832, 825, 826, 833, 844, 833, 845, 832, 889]","[461, 467, 467, 472, 455, 455, 455, 455, 449, 443, 437, 449]","[969, 999, 987, 993, 988, 988, 993, 994, 993, 987, 987, 998]","[531, 543, 549, 555, 543, 543, 537, 531, 525, 508, 502, 496]",0
"[-0.16891924632627156, -0.11076949464995132, -0.13282333807554692, -0.1852743629695857, -0.2230997390061015, -0.2339282756204571, -0.15338391709942686, -0.09091136943470897, -0.0438718041148076, -0.09159573171462992, -0.04747130557078281, -0.0115238282031745]","[556, 365, 362, 359, 356, 353, 348, 343, 332, 320, 294, 229]","[4, 608, 607, 603, 597, 590, 600, 598, 586, 570, 538, 446]","[686, 412, 418, 420, 424, 428, 433, 444, 462, 482, 523, 563]","[1277, 664, 673, 676, 675, 675, 697, 711, 733, 756, 806, 955]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[2778.241734073389, 2072.9652431674367, 4807.074010191682, 4160.830870891382, 6252.710587492648, 1906.7896029118212, 2931.7627658939364, 6889.667676215542, 8608.973214482243, 964.6955098179924, 5057.751865446441, 316.2495784791595]","[593, 589, 594, 594, 588, 587, 600, 601, 594, 582, 569, 550]","[402, 408, 408, 408, 408, 408, 408, 408, 414, 420, 431, 437]","[381, 380, 370, 363, 344, 336, 343, 369, 380, 369, 364, 370]","[561, 567, 567, 567, 567, 567, 567, 567, 567, 572, 578, 578]","[169, 170, 164, 131, 131, 107, 131, 132, 164, 131, 176, 190]","[720, 720, 720, 720, 720, 720, 720, 720, 720, 720, 720, 720]","[666, 679, 684, 691, 678, 677, 704, 716, 709, 723, 730, 626]","[402, 408, 402, 408, 402, 402, 408, 414, 408, 420, 425, 443]","[832, 839, 844, 840, 833, 832, 845, 852, 852, 858, 865, 878]","[490, 490, 490, 490, 490, 490, 484, 484, 484, 490, 490, 502]","[999, 994, 994, 993, 992, 999, 988, 987, 992, 992, 993, 993]","[578, 572, 572, 572, 572, 578, 561, 555, 555, 555, 555, 555]",0
"[0.09735952220338102, 0.1037235463729923, -0.01358251154810954, -0.05754855045907431, -0.10009590635149163, -0.202715042424017, -0.2969166694285766, -0.3683758486083143, -0.42194897585555496, -0.5170547372496646, -0.4650509216794039, -0.6767767469310594]","[368, 367, 366, 365, 364, 365, 362, 361, 358, 355, 347, 329]","[617, 620, 616, 614, 609, 605, 600, 591, 584, 574, 568, 499]","[398, 399, 403, 406, 410, 415, 420, 428, 436, 456, 495, 511]","[654, 659, 661, 661, 662, 664, 666, 669, 673, 691, 735, 824]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[7613.090218869391, 6683.589735233795, 5285.91502111019, 2449.1155025050066, 3580.671710698684, 1311.7872344605516, 1119.6073782192461, 785.816379889905, 1944.0878214374084, 911.214029688791, 925.6733216959378, 600.3816217054012]","[619, 614, 612, 608, 601, 596, 595, 582, 571, 574, 581, 563]","[384, 390, 390, 390, 390, 390, 390, 390, 402, 402, 408, 425]","[503, 505, 489, 480, 478, 460, 447, 440, 414, 414, 421, 390]","[555, 555, 555, 555, 555, 555, 555, 555, 561, 561, 567, 572]","[388, 402, 357, 350, 331, 311, 297, 279, 247, 233, 260, 221]","[720, 720, 720, 720, 720, 720, 720, 720, 720, 720, 720, 720]","[671, 672, 672, 671, 660, 667, 666, 653, 665, 666, 698, 673]","[384, 390, 390, 390, 390, 396, 396, 396, 402, 402, 408, 437]","[825, 833, 832, 833, 827, 833, 833, 832, 821, 834, 839, 872]","[461, 467, 467, 472, 472, 478, 484, 490, 490, 496, 496, 520]","[987, 994, 992, 988, 993, 993, 999, 999, 987, 998, 992, 994]","[537, 543, 543, 549, 555, 561, 567, 578, 578, 590, 584, 596]",0
"[0.04083148282107056, 0.04404718901993295, 0.04864848722473361, 0.04778063158027063, 0.07148989075767717, 0.06255886123562047, 0.026746372682321586, -0.011607413733056474, -0.05829048045822072, -0.07824010543483176, 0.009957492886236884, 0.13805706071549192]","[345, 346, 344, 344, 344, 343, 341, 340, 338, 332, 325, 301]","[627, 625, 624, 622, 620, 618, 608, 595, 582, 565, 546, 457]","[370, 373, 375, 376, 381, 384, 389, 398, 410, 427, 467, 507]","[660, 661, 663, 666, 669, 673, 674, 671, 678, 689, 741, 869]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[911.144835674437, 691.5072325014419, 825.6976963381744, 1274.404553211341, 790.5581221327628, 1164.7729904353419, 453.21095898176577, 761.7954689197264, 606.1258937973189, 320.08050258537594, 9671.647147846443, 618.5539268042371]","[614, 614, 614, 614, 607, 607, 583, 594, 602, 589, 588, 543]","[361, 361, 361, 361, 367, 367, 372, 367, 361, 367, 384, 408]","[362, 363, 363, 363, 351, 350, 337, 350, 362, 362, 337, 311]","[508, 508, 508, 508, 514, 514, 514, 502, 496, 496, 520, 531]","[106, 106, 106, 106, 106, 106, 111, 107, 100, 106, 105, 105]","[655, 655, 655, 655, 655, 655, 649, 631, 625, 620, 655, 655]","[679, 678, 678, 685, 685, 697, 697, 678, 679, 691, 743, 814]","[361, 361, 361, 367, 367, 372, 372, 367, 367, 372, 390, 414]","[833, 832, 833, 844, 844, 844, 845, 814, 833, 833, 882, 909]","[443, 443, 443, 443, 443, 443, 449, 443, 449, 449, 455, 461]","[999, 994, 999, 987, 987, 986, 999, 982, 993, 992, 988, 987]","[520, 520, 520, 514, 514, 508, 520, 520, 525, 525, 514, 502]",0
"[0.06375649944722002, 0.0441596269373462, -0.017692852912876776, -0.07951617677150433, -0.16691024549794087, -0.26664372400115, -0.3113601416525624, -1.3809607014789964, -1.2559640916217354, -2.594783348349267, -1.0181906165003065, -0.949272629628723]","[348, 348, 348, 336, 333, 333, 330, 507, 498, 498, 498, 497]","[642, 642, 636, 634, 635, 622, 616, 0, 0, 1, 0, 0]","[374, 376, 378, 372, 378, 389, 403, 683, 684, 682, 683, 683]","[676, 682, 677, 681, 693, 698, 712, 1277, 1276, 1277, 1277, 1277]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]","[1451.7671537630354, 3611.602248673947, 1711.8371387391942, 3123.5205518167168, 1870.0096863517451, 2239.6388598760723, 4072.712411600257, 692.6576847600383, 1652.5994557952397, 1786.5369880211485, 660.8283110763155, 1307.2398252517125]","[622, 625, 620, 612, 612, 601, 600, 518, 600, 600, 600, 588]","[367, 367, 367, 361, 361, 361, 361, 390, 361, 361, 361, 367]","[402, 406, 390, 357, 357, 357, 349, 305, 350, 333, 344, 343]","[543, 543, 543, 543, 531, 520, 520, 525, 508, 508, 508, 514]","[200, 200, 165, 125, 106, 105, 104, 105, 106, 105, 105, 107]","[720, 720, 720, 720, 702, 678, 678, 655, 655, 655, 655, 655]","[697, 698, 686, 691, 691, 684, 683, 435, 608, 627, 633, 633]","[372, 372, 372, 367, 367, 361, 361, 402, 378, 372, 378, 402]","[844, 844, 827, 844, 846, 833, 844, 562, 717, 646, 665, 859]","[443, 443, 443, 437, 443, 443, 449, 537, 549, 555, 537, 567]","[994, 993, 981, 999, 994, 994, 995, 704, 968, 665, 999, 955]","[508, 508, 514, 508, 514, 525, 531, 643, 714, 720, 696, 696]",0
"[-0.4017261804694639, -0.48178923362271747, -0.7267438334686726, -0.36692298436594895, -0.5242161136709388, -0.5814952068278082, -1.4480519604752493, -0.6622699039163698, -0.5360437338738381, -0.8201732008194368, -0.7758532425779998, -0.4097877945988943]","[346, 346, 346, 346, 345, 341, 344, 338, 342, 341, 406, 276]","[632, 630, 629, 626, 625, 623, 622, 618, 614, 609, 483, 451]","[370, 373, 376, 379, 380, 380, 386, 387, 398, 405, 427, 517]","[671, 672, 670, 673, 674, 676, 681, 684, 693, 698, 552, 960]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[150.92799252891743, 428.67905890459576, 84.6449062748712, 31.43553475047353, 279.80381885218446, 75.7526520441701, 25.197787693373876, 153.94828672996215, 23.655811619050617, 42.26999769501038, 71.38451916111826, 22.263769729944084]","[595, 583, 596, 608, 607, 619, 634, 640, 633, 619, 485, 524]","[378, 384, 378, 378, 378, 378, 384, 378, 396, 390, 420, 449]","[344, 338, 358, 351, 355, 338, 338, 342, 313, 330, 299, 286]","[549, 549, 531, 531, 525, 525, 525, 514, 525, 520, 502, 531]","[118, 137, 158, 582, 112, 100, 100, 111, 100, 105, 124, 505]","[720, 708, 690, 684, 667, 672, 667, 649, 649, 649, 584, 708]","[626, 632, 626, 645, 646, 659, 627, 659, 633, 627, 659, 801]","[372, 378, 372, 378, 378, 378, 384, 378, 396, 390, 431, 467]","[697, 786, 711, 755, 717, 665, 645, 658, 632, 646, 832, 909]","[478, 478, 496, 478, 478, 449, 531, 437, 478, 502, 502, 520]","[999, 999, 799, 994, 994, 993, 647, 640, 980, 645, 987, 993]","[578, 578, 614, 578, 578, 578, 672, 525, 567, 714, 567, 567]",0
"[0.28809398501330974, 0.2586388138733792, 0.25646487280681207, 0.22375253096493103, 0.21593635870514338, 0.24656368476685728, 0.2434891917069396, 0.2189922343503508, 0.22911169572205328, 0.21401046551266648, 0.25304455549893534, 0.8485046625641792]","[352, 352, 354, 357, 358, 357, 356, 356, 355, 354, 350, 328]","[625, 625, 624, 624, 624, 623, 621, 614, 603, 593, 565, 736]","[382, 385, 388, 395, 399, 402, 406, 413, 425, 443, 488, 459]","[665, 669, 672, 673, 677, 681, 687, 689, 693, 705, 757, 1018]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[4816.502942542164, 4301.479013353401, 2803.068844747556, 1822.2665678396236, 2424.0532079782224, 1711.0793429348003, 2120.895614330042, 1535.6304114332638, 3418.453219294486, 1530.2672265330905, 4804.699218971297, 3421.1160430496693]","[613, 614, 615, 614, 620, 620, 620, 607, 607, 606, 595, 635]","[372, 372, 372, 378, 378, 378, 378, 384, 384, 384, 396, 367]","[356, 355, 357, 362, 364, 370, 381, 363, 363, 357, 363, 460]","[549, 549, 549, 549, 549, 549, 549, 555, 555, 555, 561, 543]","[124, 124, 125, 125, 125, 125, 125, 131, 131, 126, 126, 279]","[720, 720, 720, 720, 720, 720, 720, 720, 720, 720, 720, 720]","[691, 685, 691, 693, 693, 696, 697, 696, 691, 691, 723, 705]","[378, 372, 378, 384, 384, 384, 384, 384, 384, 384, 396, 372]","[821, 820, 838, 845, 833, 845, 846, 845, 845, 832, 858, 813]","[455, 455, 461, 467, 467, 467, 467, 472, 472, 467, 472, 425]","[993, 988, 994, 999, 992, 994, 994, 994, 993, 987, 994, 999]","[531, 537, 543, 549, 549, 549, 549, 555, 555, 549, 549, 478]",0
"[0.33417671769348584, -0.5405217473686631, -0.6328965004459004, -0.6202060903350974, 1.3730687409997062, 1.1967530843809993, 1.1000266952445317, 0.9339725127159872, -0.08079592707901966]","[461, 336, 350, 468, 463, 465, 466, 466, 474]","[0, 644, 643, 1, 2, 1, 1, 0, 0]","[682, 364, 380, 684, 684, 682, 682, 682, 685]","[1278, 688, 688, 1278, 1278, 1278, 1278, 1278, 1276]","[1, 1, 1, 1, 2, 1, 1, 1, 2]","[2741.9981021683043, 6096.235675469214, 1338.4640263260098, 739.3114459381457, 956.2469526229253, 620.8528830513043, 755.4872550295266, 486.04715796762264, 1666.7456742627162]","[575, 563, 549, 537, 575, 568, 569, 569, 555]","[367, 355, 372, 384, 384, 384, 384, 378, 349]","[363, 364, 311, 317, 486, 453, 433, 409, 323]","[531, 443, 461, 467, 555, 555, 555, 549, 478]","[189, 119, 112, 112, 406, 331, 293, 235, 101]","[720, 625, 549, 549, 720, 720, 720, 720, 602]","[626, 625, 620, 626, 704, 678, 678, 684, 627]","[367, 355, 372, 384, 378, 378, 378, 378, 361]","[812, 812, 826, 807, 826, 827, 813, 833, 627]","[514, 514, 549, 555, 437, 443, 437, 449, 472]","[993, 993, 993, 992, 974, 994, 974, 999, 774]","[655, 667, 720, 720, 490, 502, 496, 514, 584]",0
"[-0.5029352172764201, -0.5299888593274099, -0.5046817552759566, -0.5029541614101808, -0.526013238378247, -0.483477219142445, -0.4889757460844997, -0.4630981005017306, -0.39354679618904803, -0.33935779962718154, -0.3366315007701211, 0.23954436409375787]","[341, 346, 349, 349, 347, 346, 343, 344, 342, 336, 332, 304]","[587, 588, 582, 578, 572, 562, 542, 524, 482, 351, 185, 382]","[399, 408, 419, 425, 432, 447, 464, 492, 537, 648, 664, 679]","[667, 670, 674, 681, 685, 695, 705, 727, 766, 892, 1098, 1278]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1]","[905.4376648222687, 7333.286012745766, 680.7704016052852, 648.6113114146307, 3123.868478994946, 1704.1454821745706, 600.6454555522097, 812.2759841115334, 509.94220081152275, 504.0284852242037, 233.0892769542636, 59.533294637433585]","[608, 608, 613, 613, 608, 614, 620, 576, 570, 433, 652, 505]","[361, 367, 372, 372, 372, 372, 390, 396, 402, 467, 414, 396]","[351, 352, 355, 355, 351, 355, 343, 324, 330, 274, 248, 414]","[514, 514, 525, 525, 520, 525, 537, 537, 549, 584, 567, 578]","[101, 100, 105, 105, 100, 105, 105, 105, 105, 106, 126, 259]","[661, 661, 678, 678, 661, 678, 678, 672, 696, 702, 720, 720]","[686, 686, 690, 692, 702, 698, 716, 723, 743, 847, 833, 807]","[367, 372, 378, 378, 378, 378, 390, 396, 408, 467, 431, 408]","[833, 838, 838, 840, 838, 839, 852, 854, 871, 923, 909, 852]","[472, 478, 484, 484, 478, 478, 484, 484, 490, 514, 484, 449]","[994, 988, 988, 999, 993, 994, 994, 995, 999, 995, 988, 980]","[578, 578, 584, 584, 578, 578, 578, 572, 567, 561, 537, 508]",0
