,index,id,offset,xmin,ymin,xmax,ymax,label,car_direction,car_curv,lane_Two_firstPoint,lane_Two_midPoint,lane_Two_lastPoint,lane_Three_firstPoint,lane_Three_midPoint,lane_Three_lastPoint
0,1,2,-0.41304443856660167,353,915,417,952,fire hydrant,F,838.1897327147045,"588, 384","349, 555","106, 720","692, 384","826, 520","967, 672"
1,2,3,-0.38345858830830826,352,925,420,964,fire hydrant,R,926.864912697833,"589, 384","349, 555","119, 720","692, 384","814, 520","967, 672"
2,3,3,-0.38345858830830826,358,608,378,637,car,R,926.864912697833,"589, 384","349, 555","119, 720","692, 384","814, 520","967, 672"
3,4,4,-0.30577207039129256,354,940,422,980,fire hydrant,R,866.4413586198093,"593, 384","348, 555","106, 720","692, 384","775, 514","910, 684"
4,5,5,-0.5737406853899223,355,947,422,989,fire hydrant,F,1172.031398868312,"593, 384","344, 555","106, 720","639, 384","819, 549","948, 714"
5,6,5,-0.5737406853899223,358,608,378,637,car,F,1172.031398868312,"593, 384","344, 555","106, 720","639, 384","819, 549","948, 714"
6,7,6,-0.5868187420251012,350,965,426,1008,fire hydrant,F,6324.5553000986765,"594, 384","344, 555","106, 720","645, 390","820, 549","923, 720"
7,8,6,-0.5868187420251012,359,608,379,637,car,F,6324.5553000986765,"594, 384","344, 555","106, 720","645, 390","820, 549","923, 720"
8,9,7,-0.4778790349565128,351,978,428,1025,fire hydrant,F,2144.7899678402346,"589, 384","344, 555","106, 720","639, 384","813, 543","923, 720"
9,10,7,-0.4778790349565128,358,608,379,637,truck,F,2144.7899678402346,"589, 384","344, 555","106, 720","639, 384","813, 543","923, 720"
10,11,8,-0.305782739477092,352,994,432,1044,fire hydrant,F,887.4955589295141,"589, 384","344, 555","118, 720","652, 384","813, 531","923, 708"
11,12,8,-0.305782739477092,359,608,379,637,truck,F,887.4955589295141,"589, 384","344, 555","118, 720","652, 384","813, 531","923, 708"
12,13,9,-0.4161442171953521,351,1010,435,1064,fire hydrant,F,792.2193535586708,"589, 384","348, 555","119, 720","651, 384","807, 537","916, 696"
13,14,9,-0.4161442171953521,323,483,330,488,traffic light,F,792.2193535586708,"589, 384","348, 555","119, 720","651, 384","807, 537","916, 696"
14,15,9,-0.4161442171953521,523,10,681,1277,car,F,792.2193535586708,"589, 384","348, 555","119, 720","651, 384","807, 537","916, 696"
15,16,10,-0.44798595761358767,351,1037,441,1097,fire hydrant,F,882.1643403587921,"589, 384","349, 555","119, 720","651, 384","807, 537","903, 690"
