,index,id,offset,xmin,ymin,xmax,ymax,label,car_direction,car_curv,lane_Two_firstPoint,lane_Two_midPoint,lane_Two_lastPoint,lane_Three_firstPoint,lane_Three_midPoint,lane_Three_lastPoint
0,0,60,-0.08446078887160084,426,0,532,48,car,F,1399.293109412581,"588, 367","344, 531","106, 690","664, 367","820, 461","993, 555"
1,1,61,-0.0905916866587222,418,0,544,79,car,F,1494.5770506031713,"588, 367","343, 531","106, 690","664, 367","820, 461","993, 555"
2,2,62,-0.09537751905361086,408,0,563,99,car,F,1505.480006407984,"587, 367","350, 525","106, 690","664, 367","820, 461","993, 555"
3,3,63,-0.09432087467346564,407,0,564,118,car,F,1724.9217280857695,"587, 367","343, 531","106, 690","664, 367","820, 461","993, 555"
4,4,64,-0.1025070949283947,399,0,563,154,car,F,1529.9383550041198,"588, 361","350, 525","106, 690","664, 367","820, 461","993, 555"
5,5,65,-0.10573922933458117,396,0,561,171,car,F,2410.9221785778263,"588, 361","350, 525","106, 690","648, 361","820, 461","993, 555"
6,6,66,-0.11106330800886996,392,0,552,202,car,F,1891.7022636316851,"588, 361","350, 525","106, 690","648, 361","820, 461","987, 555"
7,7,67,-0.11278760363345265,390,0,556,217,car,F,1653.5419258080287,"588, 361","350, 525","106, 690","648, 361","820, 461","994, 561"
8,8,68,-0.12323309021125911,387,0,554,241,car,F,3122.778717461145,"589, 361","356, 520","106, 678","648, 361","820, 461","994, 561"
9,9,69,-0.13186765948415377,382,0,554,260,car,F,2482.3673842006137,"588, 361","356, 520","105, 678","647, 361","820, 461","994, 561"
10,10,70,-0.11760196423330958,373,0,558,283,car,F,2580.390813058785,"589, 361","351, 525","107, 690","648, 361","820, 461","994, 561"
11,11,71,-0.11193205459072614,358,0,561,301,car,F,2048.770418055915,"589, 361","350, 531","100, 696","648, 361","820, 461","999, 561"
12,12,72,-0.10131346705011435,342,0,561,325,car,F,4256.935413818155,"589, 361","350, 531","100, 696","647, 361","820, 461","999, 561"
13,15,75,-0.06044369253143775,306,0,566,384,car,F,6210.879993265096,"588, 361","357, 537","137, 708","647, 361","820, 461","999, 561"
14,16,75,-0.06044369253143775,475,0,687,1276,car,F,6210.879993265096,"588, 361","357, 537","137, 708","647, 361","820, 461","999, 561"
15,19,77,-0.025311992813805338,292,0,565,425,car,F,6235.437771738072,"589, 361","356, 543","125, 720","648, 361","820, 461","999, 561"
16,21,79,-0.048873112351195305,283,0,566,467,car,F,2908.934242428793,"589, 361","358, 537","112, 714","659, 367","832, 467","999, 561"
17,22,80,-0.01389622429645496,279,0,566,492,car,F,2825.180243450989,"589, 361","357, 543","143, 720","648, 361","820, 461","999, 561"
18,23,81,-0.02151514598448495,277,0,565,507,car,F,5023.50616618063,"588, 361","356, 543","125, 720","648, 361","821, 461","999, 561"
19,24,81,-0.02151514598448495,478,0,687,1278,car,F,5023.50616618063,"588, 361","356, 543","125, 720","648, 361","821, 461","999, 561"
20,25,82,-0.005969406086387131,270,0,565,529,car,F,5463.203610931862,"587, 361","357, 543","125, 720","658, 361","825, 461","993, 555"
21,26,82,-0.005969406086387131,478,0,686,1278,car,F,5463.203610931862,"587, 361","357, 543","125, 720","658, 361","825, 461","993, 555"
22,27,83,0.012848001272564519,266,0,565,548,car,F,2860.6689127384075,"587, 361","370, 543","125, 720","653, 355","819, 455","993, 555"
23,28,83,0.012848001272564519,478,0,687,1277,car,F,2860.6689127384075,"587, 361","370, 543","125, 720","653, 355","819, 455","993, 555"
24,29,84,0.11784579313570699,260,0,566,577,car,L,3173.6942794338524,"589, 355","358, 537","261, 720","658, 355","825, 455","994, 555"
25,30,84,0.11784579313570699,478,0,687,1277,car,L,3173.6942794338524,"589, 355","358, 537","261, 720","658, 355","825, 455","994, 555"
26,31,85,0.35596416324838676,254,1,566,603,car,F,2142.022828112217,"583, 349","427, 537","266, 720","653, 349","818, 449","993, 549"
27,32,85,0.35596416324838676,479,0,687,1277,car,F,2142.022828112217,"583, 349","427, 537","266, 720","653, 349","818, 449","993, 549"
28,35,87,0.4694685751873454,251,0,564,657,car,L,1334.1226010869807,"588, 361","421, 543","337, 720","672, 355","832, 449","999, 543"
29,36,87,0.4694685751873454,478,0,686,1277,car,L,1334.1226010869807,"588, 361","421, 543","337, 720","672, 355","832, 449","999, 543"
30,39,89,0.5169801299490757,251,0,566,711,car,F,327.76648397338613,"581, 420","459, 572","337, 720","762, 402","882, 472","992, 537"
31,40,89,0.5169801299490757,476,0,684,1277,car,F,327.76648397338613,"581, 420","459, 572","337, 720","762, 402","882, 472","992, 537"
32,41,90,0.7827952435741594,252,1,566,741,car,F,674.954482242173,"600, 443","448, 584","337, 720","807, 431","897, 484","988, 537"
33,42,90,0.7827952435741594,477,0,686,1278,car,F,674.954482242173,"600, 443","448, 584","337, 720","807, 431","897, 484","988, 537"
34,43,91,0.4535673110485305,254,1,564,756,car,F,249.72022472114142,"614, 420","472, 572","337, 720","761, 402","878, 472","988, 537"
35,44,92,0.653157845109238,257,0,565,795,car,R,162.05290958964102,"743, 437","465, 578","337, 720","780, 414","879, 478","988, 543"
36,45,93,,259,1,564,810,car,,,,,,"788, 420","890, 484","993, 543"
37,46,93,,308,498,359,576,person,,,,,,"788, 420","890, 484","993, 543"
38,47,93,,477,0,683,1278,car,,,,,,"788, 420","890, 484","993, 543"
39,48,94,,265,1,559,850,car,,,,,,,,
40,49,94,,477,0,683,1279,car,,,,,,,,
41,50,95,,268,0,564,866,car,,,,,,,,
42,51,95,,475,0,684,1279,car,,,,,,,,
43,52,96,,279,0,567,892,car,,,,,,,,
44,53,96,,477,0,685,1277,car,,,,,,,,
45,54,97,,284,0,564,903,car,,,,,,,,
46,55,98,,287,0,565,918,car,,,,,,,,
47,56,98,,476,0,683,1278,car,,,,,,,,
48,57,99,,289,2,561,932,car,,,,,,,,
49,58,99,,475,3,682,1278,car,,,,,,,,
50,59,99,,322,614,382,694,person,,,,,,,,
51,60,100,,289,1,564,960,car,,,,,,,,
52,61,100,,321,627,382,708,person,,,,,,,,
53,62,101,,291,16,555,979,car,,,,,,,,
54,63,101,,475,3,682,1279,car,,,,,,,,
55,64,102,,289,104,540,1027,car,,,,,,,,
56,65,102,,476,3,683,1277,car,,,,,,,,
57,66,103,,288,136,529,1055,car,,,,,,,,
58,67,103,,476,1,683,1277,car,,,,,,,,
59,68,104,,286,217,518,1124,car,,,,,,,,
60,69,104,,321,723,372,791,person,,,,,,,,
61,70,104,,477,4,681,1278,car,,,,,,,,
62,71,105,,283,251,521,1164,car,,,"376, 420","221, 537","112, 649",,,
63,72,105,,320,746,369,818,person,,,"376, 420","221, 537","112, 649",,,
64,73,105,,477,2,686,1280,car,,,"376, 420","221, 537","112, 649",,,
65,74,106,-0.9369567346928606,281,305,525,1243,car,F,554.2763976760051,"454, 372","279, 514","105, 655","510, 390","717, 555","889, 720"
66,75,106,-0.9369567346928606,475,1,685,1279,car,F,554.2763976760051,"454, 372","279, 514","105, 655","510, 390","717, 555","889, 720"
67,76,107,-0.4907965572567313,278,366,535,1279,car,F,271.30819101136234,"484, 378","299, 508","105, 637","530, 408","710, 514","878, 620"
68,77,107,-0.4907965572567313,476,2,682,1278,car,F,271.30819101136234,"484, 378","299, 508","105, 637","530, 408","710, 514","878, 620"
69,78,108,,273,425,534,1279,car,,,"530, 367","312, 502","100, 631",,,
70,79,108,,477,0,685,1277,car,,,"530, 367","312, 502","100, 631",,,
71,80,109,,267,465,524,1278,car,,,"542, 361","325, 496","111, 631",,,
72,81,109,,477,0,686,1276,car,,,"542, 361","325, 496","111, 631",,,
73,82,110,,263,517,541,1278,car,,,"550, 355","330, 502","106, 643",,,
74,83,110,,477,0,686,1277,car,,,"550, 355","330, 502","106, 643",,,
75,84,111,-0.7841533177488769,256,554,548,1278,car,R,3896.093610901877,"588, 343","337, 502","105, 655","619, 361","549, 472","871, 584"
76,85,111,-0.7841533177488769,478,0,687,1277,car,R,3896.093610901877,"588, 343","337, 502","105, 655","619, 361","549, 472","871, 584"
77,86,112,-0.36301809261103307,246,600,556,1278,car,F,1345.2773790653673,"589, 343","351, 502","104, 661","641, 355","820, 472","871, 584"
78,87,112,-0.36301809261103307,477,0,683,1278,car,F,1345.2773790653673,"589, 343","351, 502","104, 661","641, 355","820, 472","871, 584"
79,88,113,0.09372807183231718,238,638,563,1279,car,F,1347.5877834832997,"587, 355","343, 514","106, 672","659, 361","801, 443","961, 520"
