,index,id,offset,xmin,ymin,xmax,ymax,label,car_direction,car_curv,lane_Two_firstPoint,lane_Two_midPoint,lane_Two_lastPoint,lane_Three_firstPoint,lane_Three_midPoint,lane_Three_lastPoint
0,2,2,0.17872563450405865,555,5,684,1277,car,F,3410.357597415099,"596, 402","415, 561","228, 720","684, 408","845, 478","993, 543"
1,3,2,0.17872563450405865,366,615,413,671,car,F,3410.357597415099,"596, 402","415, 561","228, 720","684, 408","845, 478","993, 543"
2,4,3,0.19230262500188897,365,615,412,671,car,F,1279.078798976766,"595, 402","414, 561","228, 720","697, 408","845, 478","993, 543"
3,5,3,0.19230262500188897,554,2,682,1276,car,F,1279.078798976766,"595, 402","414, 561","228, 720","697, 408","845, 478","993, 543"
4,6,4,0.17074468854521654,363,614,409,670,car,F,2946.291477544801,"590, 402","412, 561","227, 720","678, 402","839, 472","993, 543"
5,7,4,0.17074468854521654,554,19,682,1277,car,F,2946.291477544801,"590, 402","412, 561","227, 720","678, 402","839, 472","993, 543"
6,8,5,0.1698816374928744,362,614,408,669,car,F,5329.366773540783,"596, 396","408, 561","227, 720","678, 402","839, 472","994, 543"
7,9,5,0.1698816374928744,554,2,682,1276,car,F,5329.366773540783,"596, 396","408, 561","227, 720","678, 402","839, 472","994, 543"
8,10,6,0.15722044942853702,360,614,406,670,car,F,3405.516842061751,"595, 396","407, 561","210, 720","678, 402","845, 472","994, 543"
9,11,6,0.15722044942853702,554,14,682,1277,car,F,3405.516842061751,"595, 396","407, 561","210, 720","678, 402","845, 472","994, 543"
10,12,7,0.14564872694604206,555,17,686,1277,car,F,3945.173638156701,"594, 396","402, 561","209, 720","672, 396","846, 472","994, 543"
11,13,7,0.14564872694604206,358,613,404,669,car,F,3945.173638156701,"594, 396","402, 561","209, 720","672, 396","846, 472","994, 543"
12,14,8,0.1407304396936039,555,16,683,1278,car,F,2705.0140149080453,"599, 390","408, 555","209, 720","673, 396","834, 467","995, 543"
13,15,8,0.1407304396936039,357,612,403,668,car,F,2705.0140149080453,"599, 390","408, 555","209, 720","673, 396","834, 467","995, 543"
14,16,9,0.13502417795777383,556,20,687,1278,car,F,1818.7979793796144,"596, 390","406, 555","208, 720","673, 396","834, 467","969, 531"
15,17,9,0.13502417795777383,355,612,401,668,car,F,1818.7979793796144,"596, 390","406, 555","208, 720","673, 396","834, 467","969, 531"
16,18,10,0.13078789100054833,355,612,400,667,car,F,1825.9512407895581,"595, 390","400, 555","202, 720","673, 396","845, 467","993, 531"
17,19,10,0.13078789100054833,555,15,684,1277,car,F,1825.9512407895581,"595, 390","400, 555","202, 720","673, 396","845, 467","993, 531"
18,20,11,0.14402501071681184,353,612,398,667,car,F,3409.244006561459,"594, 390","400, 555","202, 720","672, 390","833, 461","993, 531"
19,21,11,0.14402501071681184,555,20,684,1277,car,F,3409.244006561459,"594, 390","400, 555","202, 720","672, 390","833, 461","993, 531"
20,24,13,0.1464664818675513,555,16,684,1278,car,F,4552.619548206183,"593, 390","397, 555","202, 720","672, 390","833, 461","993, 531"
21,25,13,0.1464664818675513,352,610,397,666,car,F,4552.619548206183,"593, 390","397, 555","202, 720","672, 390","833, 461","993, 531"
22,26,14,0.14677528649883456,353,611,398,665,car,F,2610.2489211364928,"594, 390","402, 555","202, 720","672, 390","832, 461","993, 531"
23,27,14,0.14677528649883456,555,4,685,1277,car,F,2610.2489211364928,"594, 390","402, 555","202, 720","672, 390","832, 461","993, 531"
24,30,16,0.15999307239039104,555,13,684,1278,car,F,2292.089785771441,"592, 396","403, 561","209, 720","678, 396","845, 472","995, 543"
25,31,16,0.15999307239039104,357,610,400,662,car,F,2292.089785771441,"592, 396","403, 561","209, 720","678, 396","845, 472","995, 543"
26,34,18,0.15414784913263235,555,5,685,1277,car,F,2253.6371216293082,"593, 396","403, 561","209, 720","678, 402","838, 472","994, 543"
27,35,18,0.15414784913263235,362,609,405,662,car,F,2253.6371216293082,"593, 396","403, 561","209, 720","678, 402","838, 472","994, 543"
28,38,20,0.10198347975039675,555,8,685,1278,car,F,1122.0635912507962,"594, 396","407, 561","209, 720","659, 402","832, 472","992, 543"
29,39,20,0.10198347975039675,365,608,408,660,car,F,1122.0635912507962,"594, 396","407, 561","209, 720","659, 402","832, 472","992, 543"
30,40,21,0.08658289922738326,366,608,409,661,car,F,1010.9620472943982,"589, 402","407, 561","209, 720","659, 402","844, 478","987, 549"
31,41,21,0.08658289922738326,555,6,684,1277,car,F,1010.9620472943982,"589, 402","407, 561","209, 720","659, 402","844, 478","987, 549"
32,42,22,0.07296332164612501,555,7,685,1277,car,F,912.5947563968305,"589, 402","403, 561","208, 720","659, 402","839, 478","986, 549"
33,43,22,0.07296332164612501,367,607,410,659,car,F,912.5947563968305,"589, 402","403, 561","208, 720","659, 402","839, 478","986, 549"
