,id,offset,xmin,ymin,xmax,ymax,label,car_direction,car_curv,lane1_detected,lane2_detected,lane3_detected,lane4_detected,lane1_points,lane2_points,lane3_points,lane4_points
0,1,0.7019497304289097,370,608,391,635,car,F,25687.72988416868,True,True,True,False,"[(48, 576), (64, 556), (80, 555), (96, 548), (112, 541), (128, 534), (144, 527), (160, 520), (176, 512), (192, 511), (208, 506), (224, 498), (240, 497), (256, 490), (272, 484), (288, 483), (304, 476), (320, 475), (336, 467), (352, 460), (368, 454), (384, 446), (400, 445), (416, 439), (432, 433), (448, 426), (464, 424), (480, 417), (496, 411), (512, 405), (528, 398), (544, 392), (560, 390)]","[(613, 390), (608, 396), (606, 402), (601, 408), (600, 414), (596, 420), (595, 425), (593, 431), (589, 437), (587, 443), (586, 449), (582, 455), (577, 461), (575, 467), (573, 472), (570, 478), (568, 484), (564, 490), (562, 496), (561, 502), (556, 508), (555, 514), (551, 520), (549, 525), (545, 531), (543, 537), (538, 543), (537, 549), (532, 555), (530, 561), (525, 567), (524, 572), (522, 578), (517, 584), (517, 590), (515, 596), (511, 602), (505, 608), (504, 614), (498, 620), (492, 625), (492, 631), (491, 637), (491, 643), (485, 649), (485, 655), (479, 661), (478, 667), (477, 672), (471, 678), (466, 684), (461, 690), (461, 696), (454, 702), (453, 708), (447, 714), (453, 720)]","[(672, 390), (684, 396), (697, 402), (704, 408), (728, 414), (742, 420), (755, 425), (768, 431), (780, 437), (788, 443), (800, 449), (814, 455), (826, 461), (834, 467), (852, 472), (865, 478), (877, 484), (890, 490), (899, 496), (916, 502), (928, 508), (941, 514), (954, 520), (962, 525), (974, 531), (987, 537), (999, 543), (1012, 549), (1024, 555), (1033, 561), (1046, 567), (1059, 572), (1089, 578), (1096, 584), (1115, 590), (1122, 596), (1130, 602), (1148, 608), (1161, 614), (1173, 620), (1187, 625), (1198, 631), (1200, 637), (1224, 643), (1224, 649), (1232, 655), (1245, 661), (1257, 667), (1273, 672)]",[]
1,2,0.21849296713510538,370,609,391,635,car,F,3939.599346046585,True,True,True,False,"[(48, 556), (64, 555), (80, 549), (96, 548), (112, 541), (128, 534), (144, 526), (160, 520), (176, 512), (192, 511), (208, 505), (224, 498), (240, 496), (256, 490), (272, 484), (288, 483), (304, 476), (320, 475), (336, 467), (352, 460), (368, 454), (384, 446), (400, 445), (416, 439), (432, 433), (448, 426), (464, 424), (480, 417), (496, 411), (512, 408), (528, 398), (544, 395), (560, 393)]","[(612, 390), (608, 396), (603, 402), (601, 408), (599, 414), (596, 420), (594, 425), (593, 431), (589, 437), (587, 443), (583, 449), (581, 455), (577, 461), (575, 467), (571, 472), (569, 478), (567, 484), (563, 490), (562, 496), (557, 502), (556, 508), (555, 514), (551, 520), (549, 525), (545, 531), (542, 537), (538, 543), (537, 549), (532, 555), (530, 561), (525, 567), (523, 572), (522, 578), (517, 584), (516, 590), (515, 596), (511, 602), (505, 608), (504, 614), (498, 620), (498, 625), (492, 631), (492, 637), (490, 643), (485, 649), (485, 655), (479, 661), (478, 667), (477, 672), (471, 678), (466, 684), (461, 690), (461, 696), (454, 702), (453, 708), (447, 714), (453, 720)]","[(671, 390), (684, 396), (697, 402), (704, 408), (729, 414), (741, 420), (755, 425), (768, 431), (781, 437), (788, 443), (800, 449), (814, 455), (826, 461), (834, 467), (852, 472), (865, 478), (878, 484), (890, 490), (899, 496), (916, 502), (929, 508), (941, 514), (954, 520), (962, 525), (974, 531), (987, 537), (999, 543), (1013, 549), (1025, 555), (1033, 561), (1050, 567), (1059, 572), (1089, 578), (1096, 584), (1115, 590), (1122, 596), (1134, 602), (1148, 608), (1161, 614), (1173, 620), (1187, 625), (1199, 631), (1212, 637), (1224, 643), (1225, 649), (1233, 655), (1245, 661), (1257, 667), (1273, 672)]",[]
2,3,0.21360403438667128,370,608,391,634,car,F,15247.998903310441,True,True,True,False,"[(48, 577), (64, 556), (80, 549), (96, 548), (112, 529), (128, 534), (144, 527), (160, 520), (176, 512), (192, 511), (208, 506), (224, 498), (240, 497), (256, 490), (272, 484), (288, 483), (304, 482), (320, 476), (336, 467), (352, 460), (368, 454), (384, 447), (400, 445), (416, 439), (432, 433), (448, 426), (464, 424), (480, 417), (496, 411), (512, 408), (528, 398), (544, 395), (560, 390)]","[(612, 390), (608, 396), (603, 402), (601, 408), (596, 414), (595, 420), (594, 425), (590, 431), (588, 437), (586, 443), (583, 449), (581, 455), (576, 461), (575, 467), (571, 472), (569, 478), (567, 484), (563, 490), (561, 496), (557, 502), (556, 508), (555, 514), (550, 520), (549, 525), (544, 531), (542, 537), (538, 543), (537, 549), (532, 555), (530, 561), (525, 567), (523, 572), (519, 578), (517, 584), (517, 590), (515, 596), (511, 602), (505, 608), (504, 614), (498, 620), (492, 625), (492, 631), (491, 637), (490, 643), (485, 649), (485, 655), (479, 661), (478, 667), (477, 672), (472, 678), (466, 684), (461, 690), (461, 696), (454, 702), (453, 708), (447, 714), (453, 720)]","[(671, 390), (684, 396), (697, 402), (698, 408), (729, 414), (737, 420), (755, 425), (768, 431), (781, 437), (788, 443), (812, 449), (824, 455), (826, 461), (834, 467), (852, 472), (865, 478), (878, 484), (890, 490), (899, 496), (916, 502), (929, 508), (941, 514), (955, 520), (963, 525), (974, 531), (987, 537), (999, 543), (1013, 549), (1025, 555), (1033, 561), (1046, 567), (1059, 572), (1088, 578), (1096, 584), (1115, 590), (1121, 596), (1130, 602), (1147, 608), (1161, 614), (1173, 620), (1186, 625), (1198, 631), (1199, 637), (1224, 643), (1224, 649), (1232, 655), (1244, 661), (1252, 667), (1259, 672)]",[]
3,4,0.205424746911327,369,608,390,634,car,F,92245.56332422176,True,True,True,False,"[(32, 622), (48, 615), (64, 555), (80, 549), (96, 548), (112, 529), (128, 534), (144, 527), (160, 520), (176, 512), (192, 511), (208, 505), (224, 498), (240, 497), (256, 490), (272, 484), (288, 483), (304, 476), (320, 475), (336, 467), (352, 460), (368, 454), (384, 447), (400, 445), (416, 439), (432, 433), (448, 426), (464, 424), (480, 417), (496, 411), (512, 405), (528, 398), (544, 394), (560, 390)]","[(611, 390), (607, 396), (602, 402), (600, 408), (596, 414), (594, 420), (593, 425), (589, 431), (587, 437), (583, 443), (582, 449), (580, 455), (576, 461), (574, 467), (570, 472), (568, 478), (564, 484), (562, 490), (560, 496), (556, 502), (555, 508), (554, 514), (549, 520), (548, 525), (544, 531), (538, 537), (537, 543), (535, 549), (531, 555), (529, 561), (524, 567), (522, 572), (518, 578), (517, 584), (516, 590), (511, 596), (510, 602), (504, 608), (503, 614), (493, 620), (492, 625), (491, 631), (491, 637), (486, 643), (484, 649), (484, 655), (479, 661), (477, 667), (473, 672), (471, 678), (466, 684), (460, 690), (461, 696), (454, 702), (453, 708), (447, 714), (453, 720)]","[(671, 390), (684, 396), (696, 402), (698, 408), (728, 414), (736, 420), (755, 425), (768, 431), (780, 437), (788, 443), (812, 449), (814, 455), (826, 461), (834, 467), (852, 472), (865, 478), (877, 484), (890, 490), (899, 496), (916, 502), (929, 508), (941, 514), (954, 520), (962, 525), (974, 531), (987, 537), (995, 543), (1013, 549), (1024, 555), (1033, 561), (1046, 567), (1059, 572), (1072, 578), (1096, 584), (1102, 590), (1121, 596), (1129, 602), (1147, 608), (1161, 614), (1172, 620), (1186, 625), (1198, 631), (1199, 637), (1211, 643), (1224, 649), (1232, 655), (1244, 661), (1251, 667), (1258, 672), (1273, 678)]",[]
4,5,0.2038617574607002,369,608,390,634,car,F,4055.7322025786107,True,True,True,False,"[(48, 615), (64, 608), (80, 601), (96, 548), (112, 528), (128, 534), (144, 526), (160, 519), (176, 512), (192, 511), (208, 504), (224, 497), (240, 490), (256, 489), (272, 483), (288, 483), (304, 476), (320, 475), (336, 462), (352, 455), (368, 453), (384, 446), (400, 435), (416, 438), (432, 432), (448, 425), (464, 419), (480, 412), (496, 409), (512, 404), (528, 397), (544, 391)]","[(611, 390), (607, 396), (602, 402), (600, 408), (596, 414), (594, 420), (590, 425), (588, 431), (586, 437), (582, 443), (580, 449), (576, 455), (575, 461), (571, 467), (569, 472), (567, 478), (563, 484), (561, 490), (557, 496), (555, 502), (550, 508), (549, 514), (548, 520), (544, 525), (542, 531), (537, 537), (536, 543), (531, 549), (529, 555), (525, 561), (523, 567), (518, 572), (516, 578), (512, 584), (511, 590), (506, 596), (504, 602), (503, 608), (498, 614), (492, 620), (491, 625), (490, 631), (485, 637), (485, 643), (483, 649), (473, 655), (467, 661), (473, 667), (472, 672), (470, 678), (465, 684), (459, 690), (459, 696), (453, 702), (452, 708), (446, 714), (440, 720)]","[(671, 390), (684, 396), (697, 402), (703, 408), (728, 414), (736, 420), (743, 425), (768, 431), (780, 437), (788, 443), (800, 449), (814, 455), (826, 461), (834, 467), (852, 472), (865, 478), (877, 484), (890, 490), (899, 496), (916, 502), (929, 508), (941, 514), (954, 520), (962, 525), (973, 531), (987, 537), (995, 543), (1012, 549), (1024, 555), (1033, 561), (1046, 567), (1059, 572), (1072, 578), (1096, 584), (1114, 590), (1121, 596), (1134, 602), (1147, 608), (1161, 614), (1172, 620), (1186, 625), (1198, 631), (1199, 637), (1211, 643), (1224, 649), (1232, 655), (1244, 661), (1251, 667), (1258, 672)]",[]
5,6,0.19774059940864616,369,608,390,634,car,F,10529.56366890833,True,True,True,False,"[(32, 623), (48, 556), (64, 555), (80, 548), (96, 548), (112, 529), (128, 533), (144, 526), (160, 519), (176, 512), (192, 511), (208, 504), (224, 497), (240, 491), (256, 489), (272, 483), (288, 482), (304, 476), (320, 475), (336, 462), (352, 460), (368, 454), (384, 446), (400, 445), (416, 439), (432, 433), (448, 426), (464, 424), (480, 416), (496, 410), (512, 404), (528, 397), (544, 391), (560, 390)]","[(609, 390), (607, 396), (602, 402), (600, 408), (595, 414), (594, 420), (589, 425), (588, 431), (583, 437), (582, 443), (580, 449), (576, 455), (574, 461), (571, 467), (568, 472), (567, 478), (563, 484), (561, 490), (557, 496), (554, 502), (550, 508), (545, 514), (544, 520), (543, 525), (542, 531), (537, 537), (535, 543), (530, 549), (529, 555), (524, 561), (522, 567), (518, 572), (513, 578), (511, 584), (510, 590), (505, 596), (504, 602), (503, 608), (498, 614), (492, 620), (491, 625), (490, 631), (480, 637), (484, 643), (474, 649), (473, 655), (467, 661), (472, 667), (472, 672), (466, 678), (464, 684), (459, 690), (459, 696), (453, 702), (452, 708), (446, 714), (440, 720)]","[(671, 390), (684, 396), (696, 402), (698, 408), (728, 414), (736, 420), (743, 425), (768, 431), (780, 437), (788, 443), (800, 449), (814, 455), (826, 461), (834, 467), (852, 472), (865, 478), (877, 484), (890, 490), (899, 496), (915, 502), (929, 508), (941, 514), (954, 520), (962, 525), (973, 531), (987, 537), (995, 543), (1012, 549), (1024, 555), (1033, 561), (1046, 567), (1059, 572), (1072, 578), (1096, 584), (1103, 590), (1121, 596), (1129, 602), (1147, 608), (1161, 614), (1172, 620), (1186, 625), (1198, 631), (1199, 637), (1211, 643), (1224, 649), (1232, 655), (1244, 661), (1251, 667), (1258, 672), (1273, 678)]",[]
6,7,0.17902086760048577,369,608,390,634,car,F,32102.866608678356,True,True,True,False,"[(48, 619), (64, 608), (80, 601), (96, 600), (112, 528), (128, 533), (144, 526), (160, 519), (176, 511), (192, 505), (208, 549), (224, 497), (240, 484), (256, 489), (272, 483), (288, 476), (304, 476), (320, 475), (336, 462), (352, 455), (368, 453), (384, 446), (400, 440), (416, 438), (432, 432), (448, 426), (464, 423), (480, 416), (496, 410), (512, 404), (528, 397), (544, 391), (560, 390)]","[(609, 390), (607, 396), (602, 402), (600, 408), (595, 414), (593, 420), (589, 425), (588, 431), (583, 437), (581, 443), (576, 449), (575, 455), (574, 461), (570, 467), (568, 472), (564, 478), (562, 484), (557, 490), (555, 496), (551, 502), (549, 508), (544, 514), (542, 520), (542, 525), (537, 531), (535, 537), (531, 543), (528, 549), (524, 555), (523, 561), (518, 567), (516, 572), (512, 578), (510, 584), (504, 590), (504, 596), (498, 602), (493, 608), (491, 614), (490, 620), (485, 625), (480, 631), (479, 637), (473, 643), (472, 649), (471, 655), (466, 661), (465, 667), (460, 672), (459, 678), (459, 684), (453, 690), (447, 696), (447, 702), (440, 708), (440, 714), (435, 720)]","[(671, 390), (684, 396), (696, 402), (698, 408), (728, 414), (736, 420), (743, 425), (768, 431), (780, 437), (788, 443), (800, 449), (813, 455), (825, 461), (834, 467), (852, 472), (864, 478), (877, 484), (889, 490), (898, 496), (915, 502), (928, 508), (937, 514), (954, 520), (962, 525), (973, 531), (986, 537), (994, 543), (1012, 549), (1024, 555), (1032, 561), (1045, 567), (1058, 572), (1072, 578), (1095, 584), (1103, 590), (1121, 596), (1129, 602), (1147, 608), (1160, 614), (1172, 620), (1186, 625), (1186, 631), (1199, 637), (1211, 643), (1224, 649), (1231, 655), (1244, 661), (1251, 667), (1258, 672), (1273, 678)]",[]
7,8,0.1710745566211136,369,608,391,634,car,F,8141.330246271456,True,True,True,False,"[(64, 543), (80, 541), (96, 535), (112, 528), (128, 532), (144, 525), (160, 518), (176, 511), (192, 505), (208, 498), (224, 492), (240, 484), (256, 484), (272, 483), (288, 476), (304, 475), (320, 469), (336, 461), (352, 455), (368, 453), (384, 446), (400, 435), (416, 438), (432, 432), (448, 425), (464, 423), (480, 413), (496, 409), (512, 404), (528, 397), (544, 391)]","[(609, 390), (607, 396), (602, 402), (599, 408), (595, 414), (593, 420), (589, 425), (587, 431), (582, 437), (581, 443), (576, 449), (574, 455), (573, 461), (569, 467), (567, 472), (563, 478), (561, 484), (556, 490), (554, 496), (550, 502), (548, 508), (543, 514), (541, 520), (537, 525), (535, 531), (531, 537), (529, 543), (525, 549), (523, 555), (522, 561), (517, 567), (516, 572), (511, 578), (506, 584), (503, 590), (503, 596), (497, 602), (492, 608), (491, 614), (486, 620), (484, 625), (480, 631), (478, 637), (473, 643), (472, 649), (467, 655), (465, 661), (461, 667), (459, 672), (458, 678), (453, 684), (453, 690), (446, 696), (446, 702), (440, 708), (439, 714), (435, 720)]","[(671, 390), (684, 396), (696, 402), (698, 408), (728, 414), (736, 420), (742, 425), (768, 431), (780, 437), (788, 443), (800, 449), (813, 455), (825, 461), (834, 467), (851, 472), (864, 478), (877, 484), (889, 490), (898, 496), (915, 502), (928, 508), (937, 514), (949, 520), (962, 525), (969, 531), (986, 537), (994, 543), (1006, 549), (1020, 555), (1032, 561), (1045, 567), (1058, 572), (1071, 578), (1095, 584), (1103, 590), (1121, 596), (1129, 602), (1147, 608), (1160, 614), (1172, 620), (1173, 625), (1186, 631), (1198, 637), (1206, 643), (1224, 649), (1231, 655), (1244, 661), (1251, 667), (1258, 672), (1273, 678)]",[]
8,8,0.1710745566211136,504,5,687,1278,car,F,8141.330246271456,True,True,True,False,"[(64, 543), (80, 541), (96, 535), (112, 528), (128, 532), (144, 525), (160, 518), (176, 511), (192, 505), (208, 498), (224, 492), (240, 484), (256, 484), (272, 483), (288, 476), (304, 475), (320, 469), (336, 461), (352, 455), (368, 453), (384, 446), (400, 435), (416, 438), (432, 432), (448, 425), (464, 423), (480, 413), (496, 409), (512, 404), (528, 397), (544, 391)]","[(609, 390), (607, 396), (602, 402), (599, 408), (595, 414), (593, 420), (589, 425), (587, 431), (582, 437), (581, 443), (576, 449), (574, 455), (573, 461), (569, 467), (567, 472), (563, 478), (561, 484), (556, 490), (554, 496), (550, 502), (548, 508), (543, 514), (541, 520), (537, 525), (535, 531), (531, 537), (529, 543), (525, 549), (523, 555), (522, 561), (517, 567), (516, 572), (511, 578), (506, 584), (503, 590), (503, 596), (497, 602), (492, 608), (491, 614), (486, 620), (484, 625), (480, 631), (478, 637), (473, 643), (472, 649), (467, 655), (465, 661), (461, 667), (459, 672), (458, 678), (453, 684), (453, 690), (446, 696), (446, 702), (440, 708), (439, 714), (435, 720)]","[(671, 390), (684, 396), (696, 402), (698, 408), (728, 414), (736, 420), (742, 425), (768, 431), (780, 437), (788, 443), (800, 449), (813, 455), (825, 461), (834, 467), (851, 472), (864, 478), (877, 484), (889, 490), (898, 496), (915, 502), (928, 508), (937, 514), (949, 520), (962, 525), (969, 531), (986, 537), (994, 543), (1006, 549), (1020, 555), (1032, 561), (1045, 567), (1058, 572), (1071, 578), (1095, 584), (1103, 590), (1121, 596), (1129, 602), (1147, 608), (1160, 614), (1172, 620), (1173, 625), (1186, 631), (1198, 637), (1206, 643), (1224, 649), (1231, 655), (1244, 661), (1251, 667), (1258, 672), (1273, 678)]",[]
9,10,0.16526952810286508,369,608,391,633,car,F,18906.901658147086,True,True,True,False,"[(48, 620), (64, 612), (80, 536), (96, 600), (112, 528), (128, 533), (144, 526), (160, 519), (176, 511), (192, 505), (208, 498), (224, 492), (240, 484), (256, 484), (272, 482), (288, 476), (304, 476), (320, 475), (336, 462), (352, 460), (368, 454), (384, 446), (400, 445), (416, 439), (432, 433), (448, 426), (464, 424), (480, 417), (496, 410), (512, 405), (528, 398), (544, 391)]","[(608, 390), (606, 396), (602, 402), (599, 408), (595, 414), (593, 420), (588, 425), (587, 431), (582, 437), (580, 443), (575, 449), (574, 455), (571, 461), (568, 467), (564, 472), (562, 478), (560, 484), (555, 490), (551, 496), (549, 502), (545, 508), (542, 514), (538, 520), (536, 525), (531, 531), (529, 537), (525, 543), (523, 549), (519, 555), (517, 561), (512, 567), (511, 572), (509, 578), (504, 584), (499, 590), (497, 596), (493, 602), (491, 608), (486, 614), (484, 620), (479, 625), (478, 631), (473, 637), (471, 643), (471, 649), (465, 655), (464, 661), (459, 667), (453, 672), (453, 678), (447, 684), (442, 690), (445, 696), (440, 702), (439, 708), (434, 714), (433, 720)]","[(671, 390), (684, 396), (696, 402), (698, 408), (723, 414), (736, 420), (742, 425), (755, 431), (780, 437), (787, 443), (795, 449), (813, 455), (825, 461), (833, 467), (846, 472), (864, 478), (876, 484), (889, 490), (898, 496), (911, 502), (923, 508), (936, 514), (948, 520), (961, 525), (969, 531), (986, 537), (994, 543), (1012, 549), (1024, 555), (1032, 561), (1045, 567), (1058, 572), (1071, 578), (1090, 584), (1103, 590), (1121, 596), (1129, 602), (1147, 608), (1160, 614), (1172, 620), (1173, 625), (1186, 631), (1198, 637), (1206, 643), (1224, 649), (1231, 655), (1244, 661), (1251, 667), (1258, 672), (1273, 678)]",[]
