,id,offset,xmin,ymin,xmax,ymax,label,car_direction,car_curv,lane1_detected,lane2_detected,lane3_detected,lane4_detected,lane1_points,lane2_points,lane3_points,lane4_points
0,1,-0.9085347333394687,356,905,415,939,fire hydrant,F,13577.192663480866,True,True,True,True,"[(32, 468), (48, 468), (64, 462), (80, 462), (96, 462), (112, 460), (128, 454), (144, 448), (160, 447), (176, 441), (192, 440), (208, 437), (224, 432), (240, 426), (256, 425), (272, 423), (288, 418), (304, 416), (320, 412), (336, 408), (352, 404), (368, 402), (384, 397), (400, 397), (416, 395), (432, 394), (448, 388), (464, 388), (480, 382), (496, 380), (512, 379), (528, 373), (544, 368), (560, 365), (576, 360)]","[(588, 384), (582, 390), (575, 396), (568, 402), (561, 408), (551, 414), (543, 420), (537, 425), (530, 431), (523, 437), (511, 443), (499, 449), (497, 455), (481, 461), (478, 467), (471, 472), (459, 478), (452, 484), (440, 490), (434, 496), (421, 502), (414, 508), (407, 514), (400, 520), (388, 525), (377, 531), (370, 537), (368, 543), (356, 549), (349, 555), (342, 561), (336, 567), (324, 572), (312, 578), (305, 584), (297, 590), (286, 596), (279, 602), (272, 608), (265, 614), (248, 620), (241, 625), (240, 631), (221, 637), (227, 643), (202, 649), (208, 655), (189, 661), (183, 667), (177, 672), (157, 678), (151, 684), (138, 690), (138, 696), (138, 702), (137, 708), (125, 714), (106, 720)]","[(691, 384), (697, 390), (723, 396), (730, 402), (736, 408), (762, 414), (768, 420), (780, 425), (800, 431), (807, 437), (813, 443), (892, 449), (928, 455), (948, 461), (968, 467), (992, 472), (1005, 478), (1006, 484), (1025, 490), (762, 496), (768, 502), (774, 508), (775, 514), (814, 520), (819, 525), (826, 531), (832, 537), (845, 543), (819, 549), (1232, 555), (871, 561), (845, 567), (897, 572), (903, 578), (909, 584), (915, 590), (923, 596), (929, 602), (935, 608), (942, 614), (943, 620), (949, 625), (955, 631), (961, 637), (968, 643), (993, 649), (1032, 655), (1012, 661), (1013, 667), (1025, 672)]","[(736, 390), (752, 396), (768, 401), (784, 407), (800, 410), (816, 410), (832, 417), (848, 425), (864, 427), (880, 438), (896, 444), (912, 447), (928, 453), (944, 456), (960, 462), (976, 469), (992, 475), (1008, 477), (1024, 483), (1040, 485), (1056, 492), (1072, 498), (1088, 504), (1104, 506), (1120, 508), (1136, 518), (1152, 521), (1168, 527), (1184, 534), (1200, 541), (1216, 548), (1232, 534), (1248, 541), (1264, 548), (1280, 543)]"
1,2,-0.41304443856660167,353,915,417,952,fire hydrant,F,838.1897327147045,True,True,True,True,"[(32, 468), (48, 468), (64, 461), (80, 461), (96, 461), (112, 454), (128, 453), (144, 447), (160, 446), (176, 440), (192, 439), (208, 437), (224, 431), (240, 426), (256, 424), (272, 419), (288, 417), (304, 413), (320, 411), (336, 405), (352, 403), (368, 401), (384, 396), (400, 396), (416, 390), (432, 389), (448, 383), (464, 388), (480, 382), (496, 380), (512, 379), (528, 373), (544, 368), (560, 365), (576, 360), (592, 373)]","[(588, 384), (582, 390), (575, 396), (568, 402), (561, 408), (554, 414), (544, 420), (537, 425), (534, 431), (523, 437), (511, 443), (498, 449), (492, 455), (480, 461), (478, 467), (467, 472), (459, 478), (452, 484), (440, 490), (433, 496), (421, 502), (414, 508), (407, 514), (395, 520), (388, 525), (377, 531), (370, 537), (368, 543), (356, 549), (349, 555), (342, 561), (335, 567), (324, 572), (312, 578), (305, 584), (293, 590), (286, 596), (279, 602), (272, 608), (265, 614), (248, 620), (241, 625), (239, 631), (222, 637), (226, 643), (202, 649), (196, 655), (189, 661), (183, 667), (177, 672), (158, 678), (151, 684), (157, 690), (138, 696), (138, 702), (137, 708), (125, 714), (106, 720)]","[(692, 384), (698, 390), (723, 396), (730, 402), (736, 408), (742, 414), (743, 420), (775, 425), (800, 431), (807, 437), (813, 443), (812, 449), (756, 455), (864, 461), (872, 467), (813, 472), (774, 478), (781, 484), (904, 490), (813, 496), (819, 502), (813, 508), (826, 514), (826, 520), (839, 525), (839, 531), (833, 537), (845, 543), (852, 549), (1232, 555), (871, 561), (858, 567), (897, 572), (864, 578), (909, 584), (915, 590), (922, 596), (929, 602), (935, 608), (941, 614), (942, 620), (948, 625), (955, 631), (961, 637), (968, 643), (981, 649), (1032, 655), (974, 661), (1013, 667), (967, 672), (1032, 678), (1039, 684), (1076, 690)]","[(736, 390), (752, 396), (768, 401), (784, 407), (800, 410), (816, 406), (832, 412), (848, 424), (864, 426), (880, 434), (896, 441), (912, 446), (928, 453), (944, 456), (960, 462), (976, 468), (992, 475), (1008, 476), (1024, 482), (1040, 485), (1056, 492), (1072, 498), (1088, 504), (1104, 506), (1120, 511), (1136, 517), (1152, 521), (1168, 528), (1184, 534), (1200, 541), (1216, 547), (1232, 554), (1248, 555), (1264, 550), (1280, 557)]"
2,3,-0.38345858830830826,352,925,420,964,fire hydrant,R,926.864912697833,True,True,True,True,"[(32, 468), (48, 467), (64, 460), (80, 455), (96, 460), (112, 449), (128, 452), (144, 446), (160, 445), (176, 439), (192, 438), (208, 433), (224, 431), (240, 425), (256, 423), (272, 419), (288, 416), (304, 412), (320, 410), (336, 404), (352, 403), (368, 397), (384, 395), (400, 395), (416, 389), (432, 389), (448, 382), (464, 388), (480, 382), (496, 380), (512, 379), (528, 373), (544, 368), (560, 365), (576, 361)]","[(589, 384), (582, 390), (575, 396), (569, 402), (562, 408), (555, 414), (544, 420), (537, 425), (535, 431), (523, 437), (511, 443), (498, 449), (492, 455), (480, 461), (478, 467), (467, 472), (459, 478), (452, 484), (440, 490), (434, 496), (422, 502), (414, 508), (407, 514), (400, 520), (388, 525), (381, 531), (371, 537), (367, 543), (356, 549), (349, 555), (342, 561), (335, 567), (324, 572), (317, 578), (305, 584), (298, 590), (286, 596), (279, 602), (272, 608), (265, 614), (248, 620), (241, 625), (239, 631), (222, 637), (226, 643), (215, 649), (196, 655), (190, 661), (183, 667), (176, 672), (158, 678), (151, 684), (151, 690), (138, 696), (138, 702), (119, 708), (125, 714), (119, 720)]","[(692, 384), (698, 390), (723, 396), (716, 402), (730, 408), (742, 414), (743, 420), (748, 425), (755, 431), (762, 437), (685, 443), (731, 449), (737, 455), (762, 461), (812, 467), (813, 472), (774, 478), (749, 484), (755, 490), (768, 496), (768, 502), (807, 508), (775, 514), (814, 520), (813, 525), (748, 531), (749, 537), (755, 543), (756, 549), (762, 555), (768, 561), (774, 567), (897, 572), (903, 578), (909, 584), (915, 590), (922, 596), (993, 602), (935, 608), (942, 614), (942, 620), (948, 625), (955, 631), (961, 637), (968, 643), (1039, 649), (1032, 655), (974, 661), (1013, 667), (967, 672), (1032, 678), (1044, 684), (1076, 690), (1057, 696), (1058, 702), (1064, 708), (1103, 714), (1096, 720)]","[(752, 396), (768, 402), (784, 408), (800, 411), (816, 417), (832, 418), (848, 426), (864, 431), (880, 439), (896, 445), (912, 447), (928, 453), (944, 456), (960, 462), (976, 468), (992, 475), (1008, 476), (1024, 482), (1040, 485), (1056, 492), (1072, 497), (1088, 503), (1104, 506), (1120, 512), (1136, 517), (1152, 522), (1168, 528), (1184, 533), (1200, 540), (1216, 546), (1232, 549), (1248, 555), (1264, 561), (1280, 563)]"
3,3,-0.38345858830830826,358,608,378,637,car,R,926.864912697833,True,True,True,True,"[(32, 468), (48, 467), (64, 460), (80, 455), (96, 460), (112, 449), (128, 452), (144, 446), (160, 445), (176, 439), (192, 438), (208, 433), (224, 431), (240, 425), (256, 423), (272, 419), (288, 416), (304, 412), (320, 410), (336, 404), (352, 403), (368, 397), (384, 395), (400, 395), (416, 389), (432, 389), (448, 382), (464, 388), (480, 382), (496, 380), (512, 379), (528, 373), (544, 368), (560, 365), (576, 361)]","[(589, 384), (582, 390), (575, 396), (569, 402), (562, 408), (555, 414), (544, 420), (537, 425), (535, 431), (523, 437), (511, 443), (498, 449), (492, 455), (480, 461), (478, 467), (467, 472), (459, 478), (452, 484), (440, 490), (434, 496), (422, 502), (414, 508), (407, 514), (400, 520), (388, 525), (381, 531), (371, 537), (367, 543), (356, 549), (349, 555), (342, 561), (335, 567), (324, 572), (317, 578), (305, 584), (298, 590), (286, 596), (279, 602), (272, 608), (265, 614), (248, 620), (241, 625), (239, 631), (222, 637), (226, 643), (215, 649), (196, 655), (190, 661), (183, 667), (176, 672), (158, 678), (151, 684), (151, 690), (138, 696), (138, 702), (119, 708), (125, 714), (119, 720)]","[(692, 384), (698, 390), (723, 396), (716, 402), (730, 408), (742, 414), (743, 420), (748, 425), (755, 431), (762, 437), (685, 443), (731, 449), (737, 455), (762, 461), (812, 467), (813, 472), (774, 478), (749, 484), (755, 490), (768, 496), (768, 502), (807, 508), (775, 514), (814, 520), (813, 525), (748, 531), (749, 537), (755, 543), (756, 549), (762, 555), (768, 561), (774, 567), (897, 572), (903, 578), (909, 584), (915, 590), (922, 596), (993, 602), (935, 608), (942, 614), (942, 620), (948, 625), (955, 631), (961, 637), (968, 643), (1039, 649), (1032, 655), (974, 661), (1013, 667), (967, 672), (1032, 678), (1044, 684), (1076, 690), (1057, 696), (1058, 702), (1064, 708), (1103, 714), (1096, 720)]","[(752, 396), (768, 402), (784, 408), (800, 411), (816, 417), (832, 418), (848, 426), (864, 431), (880, 439), (896, 445), (912, 447), (928, 453), (944, 456), (960, 462), (976, 468), (992, 475), (1008, 476), (1024, 482), (1040, 485), (1056, 492), (1072, 497), (1088, 503), (1104, 506), (1120, 512), (1136, 517), (1152, 522), (1168, 528), (1184, 533), (1200, 540), (1216, 546), (1232, 549), (1248, 555), (1264, 561), (1280, 563)]"
4,4,-0.30577207039129256,354,940,422,980,fire hydrant,R,866.4413586198093,True,True,True,True,"[(32, 467), (48, 468), (64, 461), (80, 455), (96, 460), (112, 453), (128, 452), (144, 446), (160, 445), (176, 439), (192, 434), (208, 433), (224, 430), (240, 425), (256, 424), (272, 419), (288, 416), (304, 412), (320, 410), (336, 404), (352, 403), (368, 401), (384, 396), (400, 396), (416, 389), (432, 394), (448, 382), (464, 388), (480, 382), (496, 381), (512, 380), (528, 374), (544, 374), (560, 367), (576, 361), (592, 374)]","[(593, 384), (587, 390), (576, 396), (569, 402), (562, 408), (555, 414), (548, 420), (538, 425), (534, 431), (523, 437), (511, 443), (504, 449), (497, 455), (490, 461), (478, 467), (471, 472), (459, 478), (452, 484), (440, 490), (434, 496), (422, 502), (414, 508), (407, 514), (400, 520), (388, 525), (377, 531), (370, 537), (363, 543), (355, 549), (348, 555), (341, 561), (330, 567), (313, 572), (311, 578), (299, 584), (292, 590), (285, 596), (274, 602), (267, 608), (254, 614), (247, 620), (235, 625), (228, 631), (221, 637), (209, 643), (202, 649), (195, 655), (189, 661), (182, 667), (176, 672), (158, 678), (151, 684), (144, 690), (138, 696), (125, 702), (118, 708), (112, 714), (106, 720)]","[(692, 384), (698, 390), (723, 396), (730, 402), (730, 408), (742, 414), (748, 420), (672, 425), (800, 431), (807, 437), (685, 443), (685, 449), (690, 455), (691, 461), (697, 467), (685, 472), (697, 478), (749, 484), (755, 490), (762, 496), (768, 502), (769, 508), (775, 514), (787, 520), (788, 525), (748, 531), (749, 537), (813, 543), (819, 549), (1232, 555), (1244, 561), (774, 567), (1274, 572), (1270, 578), (1270, 584), (1270, 590), (1275, 596), (774, 602), (775, 608), (839, 614), (839, 620), (846, 625), (852, 631), (864, 637), (884, 643), (871, 649), (884, 655), (897, 661), (884, 667), (903, 672), (973, 678), (910, 684)]","[(720, 384), (736, 390), (752, 395), (768, 401), (784, 404), (800, 410), (816, 405), (832, 411), (848, 424), (864, 425), (880, 438), (896, 445), (912, 447), (928, 453), (944, 455), (960, 462), (976, 474), (992, 476), (1008, 476), (1024, 483), (1040, 486), (1056, 492), (1072, 498), (1088, 504), (1104, 506), (1120, 511), (1136, 517), (1152, 521), (1168, 527), (1184, 533), (1200, 540), (1216, 535), (1232, 548), (1248, 554), (1264, 549), (1280, 556)]"
5,5,-0.5737406853899223,355,947,422,989,fire hydrant,F,1172.031398868312,True,True,True,True,"[(32, 467), (48, 468), (64, 461), (80, 455), (96, 460), (112, 453), (128, 452), (144, 446), (160, 445), (176, 439), (192, 434), (208, 433), (224, 431), (240, 425), (256, 424), (272, 419), (288, 416), (304, 412), (320, 410), (336, 405), (352, 403), (368, 402), (384, 397), (400, 397), (416, 395), (432, 394), (448, 383), (464, 389), (480, 383), (496, 381), (512, 380), (528, 375), (544, 374), (560, 367), (576, 362)]","[(593, 384), (583, 390), (576, 396), (569, 402), (562, 408), (555, 414), (548, 420), (537, 425), (534, 431), (523, 437), (511, 443), (504, 449), (497, 455), (490, 461), (478, 467), (471, 472), (459, 478), (452, 484), (440, 490), (433, 496), (421, 502), (414, 508), (407, 514), (395, 520), (388, 525), (376, 531), (369, 537), (358, 543), (351, 549), (344, 555), (332, 561), (324, 567), (313, 572), (306, 578), (298, 584), (287, 590), (280, 596), (273, 602), (266, 608), (253, 614), (247, 620), (235, 625), (227, 631), (220, 637), (209, 643), (201, 649), (190, 655), (188, 661), (176, 667), (165, 672), (157, 678), (151, 684), (144, 690), (137, 696), (125, 702), (118, 708), (112, 714), (106, 720)]","[(639, 384), (645, 390), (652, 396), (658, 402), (665, 408), (665, 414), (678, 420), (672, 425), (678, 431), (684, 437), (685, 443), (685, 449), (690, 455), (691, 461), (697, 467), (685, 472), (697, 478), (749, 484), (755, 490), (762, 496), (768, 502), (769, 508), (775, 514), (787, 520), (788, 525), (794, 531), (749, 537), (813, 543), (819, 549), (820, 555), (826, 561), (814, 567), (857, 572), (864, 578), (870, 584), (851, 590), (858, 596), (774, 602), (864, 608), (865, 614), (839, 620), (846, 625), (852, 631), (864, 637), (870, 643), (871, 649), (877, 655), (878, 661), (884, 667), (903, 672), (973, 678), (910, 684), (903, 690), (916, 696), (1167, 702), (923, 708), (948, 714), (1013, 720)]","[(720, 384), (736, 390), (752, 395), (768, 401), (784, 404), (800, 410), (816, 405), (832, 412), (848, 425), (864, 431), (880, 439), (896, 445), (912, 452), (928, 454), (944, 460), (960, 467), (976, 474), (992, 477), (1008, 477), (1024, 484), (1040, 490), (1056, 496), (1072, 499), (1088, 505), (1104, 511), (1120, 513), (1136, 519), (1152, 525), (1168, 528), (1184, 534), (1200, 541), (1216, 547), (1232, 550), (1248, 556), (1264, 562), (1280, 569)]"
6,5,-0.5737406853899223,358,608,378,637,car,F,1172.031398868312,True,True,True,True,"[(32, 467), (48, 468), (64, 461), (80, 455), (96, 460), (112, 453), (128, 452), (144, 446), (160, 445), (176, 439), (192, 434), (208, 433), (224, 431), (240, 425), (256, 424), (272, 419), (288, 416), (304, 412), (320, 410), (336, 405), (352, 403), (368, 402), (384, 397), (400, 397), (416, 395), (432, 394), (448, 383), (464, 389), (480, 383), (496, 381), (512, 380), (528, 375), (544, 374), (560, 367), (576, 362)]","[(593, 384), (583, 390), (576, 396), (569, 402), (562, 408), (555, 414), (548, 420), (537, 425), (534, 431), (523, 437), (511, 443), (504, 449), (497, 455), (490, 461), (478, 467), (471, 472), (459, 478), (452, 484), (440, 490), (433, 496), (421, 502), (414, 508), (407, 514), (395, 520), (388, 525), (376, 531), (369, 537), (358, 543), (351, 549), (344, 555), (332, 561), (324, 567), (313, 572), (306, 578), (298, 584), (287, 590), (280, 596), (273, 602), (266, 608), (253, 614), (247, 620), (235, 625), (227, 631), (220, 637), (209, 643), (201, 649), (190, 655), (188, 661), (176, 667), (165, 672), (157, 678), (151, 684), (144, 690), (137, 696), (125, 702), (118, 708), (112, 714), (106, 720)]","[(639, 384), (645, 390), (652, 396), (658, 402), (665, 408), (665, 414), (678, 420), (672, 425), (678, 431), (684, 437), (685, 443), (685, 449), (690, 455), (691, 461), (697, 467), (685, 472), (697, 478), (749, 484), (755, 490), (762, 496), (768, 502), (769, 508), (775, 514), (787, 520), (788, 525), (794, 531), (749, 537), (813, 543), (819, 549), (820, 555), (826, 561), (814, 567), (857, 572), (864, 578), (870, 584), (851, 590), (858, 596), (774, 602), (864, 608), (865, 614), (839, 620), (846, 625), (852, 631), (864, 637), (870, 643), (871, 649), (877, 655), (878, 661), (884, 667), (903, 672), (973, 678), (910, 684), (903, 690), (916, 696), (1167, 702), (923, 708), (948, 714), (1013, 720)]","[(720, 384), (736, 390), (752, 395), (768, 401), (784, 404), (800, 410), (816, 405), (832, 412), (848, 425), (864, 431), (880, 439), (896, 445), (912, 452), (928, 454), (944, 460), (960, 467), (976, 474), (992, 477), (1008, 477), (1024, 484), (1040, 490), (1056, 496), (1072, 499), (1088, 505), (1104, 511), (1120, 513), (1136, 519), (1152, 525), (1168, 528), (1184, 534), (1200, 541), (1216, 547), (1232, 550), (1248, 556), (1264, 562), (1280, 569)]"
7,6,-0.5868187420251012,350,965,426,1008,fire hydrant,F,6324.5553000986765,True,True,True,True,"[(32, 467), (48, 467), (64, 460), (80, 455), (96, 448), (112, 453), (128, 452), (144, 446), (160, 445), (176, 438), (192, 433), (208, 432), (224, 430), (240, 424), (256, 423), (272, 418), (288, 416), (304, 412), (320, 410), (336, 404), (352, 403), (368, 401), (384, 396), (400, 396), (416, 395), (432, 394), (448, 383), (464, 388), (480, 382), (496, 380), (512, 380), (528, 375), (544, 374), (560, 367), (576, 362)]","[(594, 384), (587, 390), (576, 396), (569, 402), (562, 408), (555, 414), (544, 420), (537, 425), (534, 431), (523, 437), (511, 443), (504, 449), (497, 455), (490, 461), (478, 467), (471, 472), (459, 478), (452, 484), (440, 490), (433, 496), (422, 502), (414, 508), (407, 514), (400, 520), (388, 525), (377, 531), (370, 537), (363, 543), (351, 549), (344, 555), (332, 561), (325, 567), (323, 572), (311, 578), (299, 584), (292, 590), (285, 596), (278, 602), (267, 608), (254, 614), (247, 620), (235, 625), (228, 631), (221, 637), (209, 643), (202, 649), (195, 655), (188, 661), (182, 667), (165, 672), (158, 678), (151, 684), (144, 690), (138, 696), (131, 702), (118, 708), (112, 714), (106, 720)]","[(645, 390), (652, 396), (658, 402), (665, 408), (665, 414), (678, 420), (672, 425), (678, 431), (684, 437), (684, 443), (685, 449), (690, 455), (685, 461), (679, 467), (685, 472), (696, 478), (749, 484), (755, 490), (767, 496), (768, 502), (774, 508), (775, 514), (787, 520), (788, 525), (800, 531), (807, 537), (813, 543), (820, 549), (1232, 555), (768, 561), (774, 567), (775, 572), (781, 578), (1271, 584), (781, 590), (858, 596), (774, 602), (774, 608), (799, 614), (839, 620), (851, 625), (852, 631), (864, 637), (870, 643), (871, 649), (877, 655), (878, 661), (883, 667), (890, 672), (896, 678), (909, 684), (903, 690), (916, 696), (922, 702), (923, 708), (948, 714), (923, 720)]","[(720, 388), (736, 394), (752, 397), (768, 403), (784, 408), (800, 412), (816, 418), (832, 424), (848, 430), (864, 433), (880, 440), (896, 446), (912, 452), (928, 455), (944, 461), (960, 467), (976, 474), (992, 477), (1008, 482), (1024, 485), (1040, 491), (1056, 497), (1072, 504), (1088, 506), (1104, 512), (1120, 514), (1136, 519), (1152, 525), (1168, 529), (1184, 535), (1200, 542), (1216, 548), (1232, 551), (1248, 556), (1264, 562), (1280, 569)]"
8,6,-0.5868187420251012,359,608,379,637,car,F,6324.5553000986765,True,True,True,True,"[(32, 467), (48, 467), (64, 460), (80, 455), (96, 448), (112, 453), (128, 452), (144, 446), (160, 445), (176, 438), (192, 433), (208, 432), (224, 430), (240, 424), (256, 423), (272, 418), (288, 416), (304, 412), (320, 410), (336, 404), (352, 403), (368, 401), (384, 396), (400, 396), (416, 395), (432, 394), (448, 383), (464, 388), (480, 382), (496, 380), (512, 380), (528, 375), (544, 374), (560, 367), (576, 362)]","[(594, 384), (587, 390), (576, 396), (569, 402), (562, 408), (555, 414), (544, 420), (537, 425), (534, 431), (523, 437), (511, 443), (504, 449), (497, 455), (490, 461), (478, 467), (471, 472), (459, 478), (452, 484), (440, 490), (433, 496), (422, 502), (414, 508), (407, 514), (400, 520), (388, 525), (377, 531), (370, 537), (363, 543), (351, 549), (344, 555), (332, 561), (325, 567), (323, 572), (311, 578), (299, 584), (292, 590), (285, 596), (278, 602), (267, 608), (254, 614), (247, 620), (235, 625), (228, 631), (221, 637), (209, 643), (202, 649), (195, 655), (188, 661), (182, 667), (165, 672), (158, 678), (151, 684), (144, 690), (138, 696), (131, 702), (118, 708), (112, 714), (106, 720)]","[(645, 390), (652, 396), (658, 402), (665, 408), (665, 414), (678, 420), (672, 425), (678, 431), (684, 437), (684, 443), (685, 449), (690, 455), (685, 461), (679, 467), (685, 472), (696, 478), (749, 484), (755, 490), (767, 496), (768, 502), (774, 508), (775, 514), (787, 520), (788, 525), (800, 531), (807, 537), (813, 543), (820, 549), (1232, 555), (768, 561), (774, 567), (775, 572), (781, 578), (1271, 584), (781, 590), (858, 596), (774, 602), (774, 608), (799, 614), (839, 620), (851, 625), (852, 631), (864, 637), (870, 643), (871, 649), (877, 655), (878, 661), (883, 667), (890, 672), (896, 678), (909, 684), (903, 690), (916, 696), (922, 702), (923, 708), (948, 714), (923, 720)]","[(720, 388), (736, 394), (752, 397), (768, 403), (784, 408), (800, 412), (816, 418), (832, 424), (848, 430), (864, 433), (880, 440), (896, 446), (912, 452), (928, 455), (944, 461), (960, 467), (976, 474), (992, 477), (1008, 482), (1024, 485), (1040, 491), (1056, 497), (1072, 504), (1088, 506), (1104, 512), (1120, 514), (1136, 519), (1152, 525), (1168, 529), (1184, 535), (1200, 542), (1216, 548), (1232, 551), (1248, 556), (1264, 562), (1280, 569)]"
9,7,-0.4778790349565128,351,978,428,1025,fire hydrant,F,2144.7899678402346,True,True,True,True,"[(32, 467), (48, 467), (64, 460), (80, 455), (96, 448), (112, 448), (128, 448), (144, 441), (160, 445), (176, 438), (192, 433), (208, 433), (224, 431), (240, 425), (256, 424), (272, 419), (288, 416), (304, 412), (320, 410), (336, 404), (352, 403), (368, 402), (384, 396), (400, 401), (416, 395), (432, 395), (448, 389), (464, 388), (480, 382), (496, 381), (512, 380), (528, 375), (544, 374), (560, 367), (576, 362)]","[(589, 384), (583, 390), (576, 396), (569, 402), (562, 408), (555, 414), (548, 420), (537, 425), (534, 431), (523, 437), (511, 443), (504, 449), (497, 455), (490, 461), (478, 467), (471, 472), (459, 478), (452, 484), (441, 490), (434, 496), (422, 502), (415, 508), (407, 514), (400, 520), (388, 525), (377, 531), (370, 537), (363, 543), (351, 549), (344, 555), (332, 561), (325, 567), (323, 572), (311, 578), (299, 584), (293, 590), (285, 596), (278, 602), (267, 608), (254, 614), (248, 620), (235, 625), (228, 631), (221, 637), (209, 643), (202, 649), (195, 655), (188, 661), (182, 667), (165, 672), (158, 678), (151, 684), (144, 690), (138, 696), (131, 702), (118, 708), (112, 714), (106, 720)]","[(639, 384), (645, 390), (652, 396), (658, 402), (659, 408), (665, 414), (666, 420), (672, 425), (678, 431), (684, 437), (684, 443), (685, 449), (690, 455), (685, 461), (685, 467), (685, 472), (697, 478), (748, 484), (755, 490), (762, 496), (768, 502), (769, 508), (775, 514), (787, 520), (788, 525), (794, 531), (749, 537), (813, 543), (820, 549), (1232, 555), (1244, 561), (774, 567), (775, 572), (1270, 578), (1271, 584), (781, 590), (858, 596), (833, 602), (794, 608), (799, 614), (839, 620), (846, 625), (852, 631), (864, 637), (870, 643), (871, 649), (872, 655), (878, 661), (883, 667), (890, 672), (891, 678), (909, 684), (903, 690), (916, 696), (922, 702), (923, 708), (948, 714), (923, 720)]","[(704, 382), (720, 388), (736, 394), (752, 397), (768, 403), (784, 408), (800, 412), (816, 418), (832, 424), (848, 430), (864, 433), (880, 441), (896, 446), (912, 452), (928, 455), (944, 461), (960, 467), (976, 473), (992, 477), (1008, 478), (1024, 485), (1040, 491), (1056, 497), (1072, 503), (1088, 506), (1104, 512), (1120, 514), (1136, 519), (1152, 525), (1168, 529), (1184, 535), (1200, 542), (1216, 547), (1232, 551), (1248, 556), (1264, 563), (1280, 569)]"
